Category,Account NO,Customer Name,Group,Post Code,Region,Sales Person
Independent Retailer,1115885, Best Fit Tyres (Glasgow) Ltd ,KPP,G5 9SW,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115908, Jacks Tyres Limited ,KPP,SY21 7AZ,Wales,jon.brett@kumhotire.com
Independent Retailer,1115917, Goodfellow Tyres ,KPP,CA13 9RU,North West,jon.brett@kumhotire.com
Independent Retailer,1115919, J G Tyre Services Ltd  ,KPP,DL14 9AW,North East,jon.brett@kumhotire.com
Independent Retailer,1115942, Sandmill MOT Centre Limited ,KPP,DG9 7DE,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115986, A & M Tyre Specialists ,KPP,WN5 9JY,North West,jon.brett@kumhotire.com
Independent Retailer,1115990, Stornoway Spares Service ,KPP,HS1 2QT,Scotland,jon.brett@kumhotire.com
Independent Retailer,1115993, 590 Tyres Limited ,KPP,LA14 3YG,North West,jon.brett@kumhotire.com
Independent Retailer,1116016, Rossendale Exhaust Centre Limited ,KPP,BB4 7JJ,North West,jon.brett@kumhotire.com
Independent Retailer,1116048, Paul Jarrold Tyres Ltd ,KPP,PR3 3AD,North West,jon.brett@kumhotire.com
Independent Retailer,1116049, Bellis Bros. (Tyres) Limited ,KPP,M35 0JH,North West,jon.brett@kumhotire.com
Independent Retailer,1116246, Budget Tyres ,KPP,LA9 6BT,North West,jon.brett@kumhotire.com
Independent Retailer,1116336, Sandbach Tyre Services Limited ,KPP,CW11 3HP,North West,jon.brett@kumhotire.com
Independent Retailer,1116385, Mitchell North West Limited ,KPP,CH2 4RG,North West,jon.brett@kumhotire.com
Independent Retailer,1116552, Jim Dickson's Tyres ,KPP,G67 2SB,Scotland,jon.brett@kumhotire.com
Independent Retailer,1116553, JB Tyre Services Scotland Ltd ,KPP,G33 6LT,Scotland,jon.brett@kumhotire.com
Independent Retailer,1116673, J K Tyres & Autocentre Limited ,KPP,FK3 8NJ,Scotland,jon.brett@kumhotire.com
Independent Retailer,1117082, M P Foulkes ,KPP,SY16 3DB,Wales,jon.brett@kumhotire.com
Independent Retailer,1083208, The Frodsham Tyre Company Ltd ,KPP,WA6 7FZ,North West,jon.brett@kumhotire.com
Independent Retailer,1083210, Steve's (Tyred 'N' Exhausted) Ltd ,KPP,PR9 0TL,North West,jon.brett@kumhotire.com
Independent Retailer,1083235, Motek NW LTD T/A ProFit Tyres (Car) ,KPP,OL8 1SX,North West,jon.brett@kumhotire.com
Independent Retailer,1083236, Andys Tyre Services Ltd (PCR) ,KPP,LL19 7HA,Wales,jon.brett@kumhotire.com
Independent Retailer,1083823, Tyrewise Service & Repair Centre ,KPP,CW9 7XP,North West,jon.brett@kumhotire.com
Independent Retailer,1083887, Grande Tyres Limited ,KPP,NE16 3DA,North East,jon.brett@kumhotire.com
Independent Retailer,1085200, HQ Auto & Leisure Centre ,KPP,CA11 7NZ,North West,jon.brett@kumhotire.com
Independent Retailer,1086836, Darwen Tyres & Exhaust Services ,KPP,BB3 0JB,North West,jon.brett@kumhotire.com
Independent Retailer,1088608, Soltyre Limited ,KPP,ML6 9SE,Scotland,jon.brett@kumhotire.com
Independent Retailer,1090589, Cumbria Tyre Specialists Ltd (CHQ) ,KPP,CA1 3UD,North West,jon.brett@kumhotire.com
Independent Retailer,1097310, Motorcare (Powys) Limited ,KPP,SY10 0AA,Wales,jon.brett@kumhotire.com
Independent Retailer,1105069, Tyrecare (St. Helens) Limited ,KPP,WA10 2QF,North West,jon.brett@kumhotire.com
Independent Retailer,1108174, MAC Tyres Limited ,KPP,AB42 1UL,Scotland,jon.brett@kumhotire.com
Independent Retailer,1083241, Crescent Garage ,Other,CW5 5ND,North West,jon.brett@kumhotire.com
Independent Retailer,1099227, Discount Tyre Services ,Other,DN8 4EA,Yorkshire & Humberside,jon.brett@kumhotire.com
Independent Retailer,1084999, B & K Williams Ltd ,Other,LL55 2HP,Wales,jon.brett@kumhotire.com
Independent Retailer,1085286, Minera Tyres & Exhaust Limited ,Other,LL11 3RD,Wales,jon.brett@kumhotire.com
Independent Retailer,1086858, Newtown Tyres (Powys) Ltd ,Other,SY16 4LE,Wales,jon.brett@kumhotire.com
Independent Retailer,1088607, Troon Tyre & Exhaust Centre ,Other,KA10 6QR,Scotland,jon.brett@kumhotire.com
Independent Retailer,1095658, Maldwyn Williams Limited ,Other,LL16 5TH,Wales,jon.brett@kumhotire.com
Independent Retailer,1096834, Stakeford Tyres Limited ,Other,NE62 5UF,North East,jon.brett@kumhotire.com
Independent Retailer,1098198, Brookside Garage ,Other,CA7 9AW,North West,jon.brett@kumhotire.com
Independent Retailer,1101024, Richard Wellock & Sons Ltd ,Other,BB9 6SH,North West,jon.brett@kumhotire.com
Independent Retailer,1109028, D.A. Roberts Garage Ltd ,Other,SY13 4QJ,Wales,jon.brett@kumhotire.com
Independent Retailer,1116925, Clark's Maintenance Eng (Nairn) Ltd ,Other,IV12 4SG,Scotland,jon.brett@kumhotire.com
Independent Retailer,1119057, WHEELQUICK (2007) LIMITED ,Other,WN5 8DJ,Yorkshire & Humberside,jon.brett@kumhotire.com
Independent Retailer,1121889, Tyre Shop Online Ltd ,Other,L22 6QA,London,jon.brett@kumhotire.com
Independent Retailer,1122122, Kenmare Tyre Services Limited ,Other,CA26 3QY,North West,jon.brett@kumhotire.com
Independent Retailer,1116048, Paul Jarrold Tyres Ltd ,KPP,PR3 3AD,North West,jon.brett@kumhotire.com
Regional Retailer,1083261, S & M Tyres Ltd T/A Elite Garages ,Regional,RH13 6HY,South East,simon.carey@kumhotire.com
Regional Retailer,1123940, Merityre Specialists Ltd ,Regional,SP10 5JG,South West,simon.carey@kumhotire.com
Independent Retailer,1087480, Horndean Tyres Ltd  ,KPP,PO8 9JX,South East,simon.carey@kumhotire.com
Independent Retailer,1088142, Horndean Tyres (SE) Ltd  ,KPP,RH15 9TJ,South East,simon.carey@kumhotire.com
Independent Retailer,1088400, Tadley Tyre Services Ltd ,KPP,RG26 3PX,South East,simon.carey@kumhotire.com
Independent Retailer,1106867, Nicks Tyre Services Limited ,KPP,CM15 9SB,East ,simon.carey@kumhotire.com
Independent Retailer,1110250, Horley Tyre & Exhaust Limited ,KPP,RH6 7BB,South East,simon.carey@kumhotire.com
Independent Retailer,1115695, New Milton Tyre Company Ltd ,KPP,BH25 6DP,South West,simon.carey@kumhotire.com
Independent Retailer,1115792, Bower Lane Tyres Limited ,KPP,ME16 8EJ,South East,simon.carey@kumhotire.com
Independent Retailer,1115829, Eames Motor Repairs Limited ,KPP,PO19 7JU,South East,simon.carey@kumhotire.com
Independent Retailer,1115886, Holbury Service Station Ltd  ,KPP,SO45 2NZ,South East,simon.carey@kumhotire.com
Independent Retailer,1115943, Cawteco Limited  ,KPP,PO12 3ED,South East,simon.carey@kumhotire.com
Independent Retailer,1115966, Merrow Tyre & Alignment Centre Ltd ,KPP,GU9 7UP,South East,simon.carey@kumhotire.com
Independent Retailer,1116017, Invicta Tyres ,KPP,CT1 3RF,South East,simon.carey@kumhotire.com
Independent Retailer,1116020, Staplehurst Tyres Limited ,KPP,TN12 0RX,South East,simon.carey@kumhotire.com
Independent Retailer,1116204, Ash Tyre Services ,KPP,TN15 7HJ,South East,simon.carey@kumhotire.com
Independent Retailer,1116242, Christchurch Tyres Limited ,KPP,BH23 3RU,South West,simon.carey@kumhotire.com
Independent Retailer,1116335, Cowley Road Tyre & Exhaust ,KPP,UB8 2NH,London,simon.carey@kumhotire.com
Independent Retailer,1116370, Littlehampton Tyre & Exh Cntrs Ltd ,KPP,BN17 6BS,South East,simon.carey@kumhotire.com
Independent Retailer,1116550, Wraysbury Tyre Service Ltd ,KPP,KT16 8LF,London,simon.carey@kumhotire.com
Independent Retailer,1116551, Station Road Tyres ,KPP,GU7 3NF,South East,simon.carey@kumhotire.com
Independent Retailer,1116671, Tyresales & Service(Hedge End) Ltd ,KPP,SO30 2JW,South East,simon.carey@kumhotire.com
Independent Retailer,1116801, K & P Tyres (Ewell) Limited ,KPP,KT19 9XE,London,simon.carey@kumhotire.com
Independent Retailer,1117960, Fox Tyres ,KPP,CT13 0NY,South East,simon.carey@kumhotire.com
Independent Retailer,1117961, Victoria Tyre Centre ,KPP,TN35 5BS,South East,simon.carey@kumhotire.com
Independent Retailer,1118536, We Fit Autocentre ,KPP,GU34 2QG,South East,simon.carey@kumhotire.com
Independent Retailer,1118807, KAP Motor Group ,KPP,CT20 3UJ,South East,simon.carey@kumhotire.com
Independent Retailer,1083871, A2 Tyre Services Ltd ,KPP,ME10 2PG,South East,simon.carey@kumhotire.com
Independent Retailer,1084006, Goodrims ,KPP,DA1 4BZ,London,simon.carey@kumhotire.com
Independent Retailer,1084007, Auto Care (Cheshunt) ,KPP,EN8 0NJ,London,simon.carey@kumhotire.com
Independent Retailer,1084758, Roadwheel Tyre & Exhaust Limited HQ ,KPP,GU51 3QT,South East,simon.carey@kumhotire.com
Independent Retailer,1084855, Brighton Tyres & Exhausts ,KPP,BN2 9QD,South East,simon.carey@kumhotire.com
Independent Retailer,1084920, Edmunds Exhaust & Autocare Ltd ,KPP,RG41 5EJ,South East,simon.carey@kumhotire.com
Independent Retailer,1085237, Fairway Tyre & Auto Srvc(Rikman)Ltd ,KPP,WD3 8BW,South East,simon.carey@kumhotire.com
Independent Retailer,1085564, AllTyres Trading limited (Car) ,KPP,IG8 8HF,London,simon.carey@kumhotire.com
Independent Retailer,1085620, Roadrunner Service Centre (Fin) Ltd ,KPP,N3 1LS,London,simon.carey@kumhotire.com
Independent Retailer,1086081, Station View Garage (Dorking) Ltd ,KPP,RH4 1HF,South East,simon.carey@kumhotire.com
Independent Retailer,1087595, Vales Garage Limited ,KPP,GU30 7JS,South East,simon.carey@kumhotire.com
Independent Retailer,1098153, Tomato Tyres Ltd ,KPP,SL0 9HE,South East,simon.carey@kumhotire.com
Independent Retailer,1084766, Auto Test & Tyres Ltd (HQ) ,Other,SM6 9AP,London,simon.carey@kumhotire.com
Independent Retailer,1085619, Tyres Direct On-Line Ltd ,Other,LU3 3AN,South East,simon.carey@kumhotire.com
Independent Retailer,1085661, Ropers (Farnborough) Ltd ,Other,GU17 9ES,South East,simon.carey@kumhotire.com
Independent Retailer,1086393, Fairway Tyre & Auto Srvs Ltd ,Other,AL10 8BJ,South East,simon.carey@kumhotire.com
Independent Retailer,1093591, Wimbledon Autocare Co. Limited ,Other,KT3 3NE,London,simon.carey@kumhotire.com
Independent Retailer,1097681, Discount Tyre & Battery Cntr (Cash) ,Other,PO21 1XB,South East,simon.carey@kumhotire.com
Independent Retailer,1099925, Tyre Shack Limited ,Other,SO15 0LD,South East,simon.carey@kumhotire.com
Independent Retailer,1116078, Millo Developments Ltd T/A Motech ,Other,SW16 6LJ,London,simon.carey@kumhotire.com
Independent Retailer,1117401, Dynes Tyre Services Ltd T/A DTS ,Other,DA8 3LT,London,simon.carey@kumhotire.com
Independent Retailer,1119278, Tyres 4 Less Limited ,Other,KT8 2RY,London,simon.carey@kumhotire.com
Independent Retailer,1122240, Hotline Tyres Ltd ,Other,HA9 7NG,South East,simon.carey@kumhotire.com
Independent Retailer,1122297, Chiltern Tyre & Exhaust Limited ,Other,LU6 1BD,South East,simon.carey@kumhotire.com
Independent Retailer,1122499, Master Window Tints Ltd ,Other,SE27 9AU,South East,simon.carey@kumhotire.com
Independent Retailer,1124212, Discount Tyre Direct Ltd ,Other,BN11 1HN,South East,simon.carey@kumhotire.com
Independent Retailer,1125438, Barrack Road Tyres Limited ,Other,BH23 2BD,South East,simon.carey@kumhotire.com
Independent Retailer,1126452, Flintstone Tyre Ltd (CASH ONLY) ,Other,SO31 1FQ,South East,simon.carey@kumhotire.com
Independent Retailer,1127337, TRADE TYRES ,Other,GU1 1RU,South East,simon.carey@kumhotire.com
Independent Retailer,1127437, J&R TYRES LTD ,Other,RG7 1QD,South East,simon.carey@kumhotire.com
Independent Retailer,1127726, HIGHVIEW GARAGE LIMITED ,Other,N12 0AJ,London,simon.carey@kumhotire.com
Independent Retailer,1127900, FORDINGBRIDGE TYRE & BATTERY LTD ,Other,SP6 1PA,South West,simon.carey@kumhotire.com
Independent Retailer,1128098, JORDANS AUTOCARE LTD ,Other,RG4 6ST,South East,simon.carey@kumhotire.com
Regional Wholesaler,1083255, Birmingham Motor Tyres Limited ,Regional,B42 1TU,West Midlands,dean.dyoss@kumhotire.com
Regional Retailer,1083258, B.A. Bush & Son Limited ,Regional,LN9 5AQ,Yorkshire & Humberside,dean.dyoss@kumhotire.com
Regional Retailer,1083259, Exhaust Tyres & Batteries Worc Ltd ,Regional,WR3 8SB,West Midlands,dean.dyoss@kumhotire.com
Regional Retailer,1108792, Eden Tyre Sales Limited ,Regional,DE5 3NW,East Midlands,dean.dyoss@kumhotire.com
Regional Retailer,1083260, Tanvic Group Limited HQ ,Regional,NG24 1LS,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1083250, G T Tyres & Exhausts ,KPP,S63 0DE,Yorkshire & Humberside,dean.dyoss@kumhotire.com
Independent Retailer,1090011, Hucknall Tyre & Exhaust ,KPP,NG15 6EX,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115703, Steve's Tyres & Wheels Limited ,KPP,SK17 6NE,North West,dean.dyoss@kumhotire.com
Independent Retailer,1115789, Colwall MOT & Tyre Centre Ltd ,KPP,WR13 6RN,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115790, A A Silencers Limited ,KPP,ST10 1LQ,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115791, Pershore Tyre Services Ltd ,KPP,WR10 2DF,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115832, For Tyres Limited ,KPP,ST2 9AB,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115834, Barn Garage Limited ,KPP,NG12 5HN,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115910, Tyreforce Shrewsbury Limited ,KPP,SY1 4NT,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115915, Fawlty Tyres ,KPP,WR2 5EE,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115995, Clinton Garage Limited (inc with 1115996) ,KPP,CV8 1AS,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115996, Spa Motors Limited/Clinton Garage ,KPP,CV31 1XB,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1115997, Autopoint MOT Centre Atherstone Ltd ,KPP,CV9 1LQ,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1116065, Tamworth Tyres ,KPP,B77 5AL,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1116137, Longton Motor Accessories Ltd ,KPP,ST3 2PD,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1116143, Springfield Autocare & Carsales ,KPP,CM0 8UA,East ,dean.dyoss@kumhotire.com
Independent Retailer,1116164, Graham's Tyres Limited ,KPP,S6 1SX,Yorkshire & Humberside,dean.dyoss@kumhotire.com
Independent Retailer,1116314, Bridgnorth Tyre Centre Ltd ,KPP,WV15 5AW,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1116403, Droitwich Tyre & Exh Bromsgrove Ltd ,KPP,B60 3DR,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1116485, Crackley Garage Limited ,KPP,CV8 2FD,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1117661, PenistoneTyres Limited ,KPP,S36 7AH,Yorkshire & Humberside,dean.dyoss@kumhotire.com
Independent Retailer,1117860, Kidlington Tyre & Exhaust Centre ,KPP,OX5 1HT,South East,dean.dyoss@kumhotire.com
Independent Retailer,1117861, Brookos of Botley Limited ,KPP,OX2 0LX,South East,dean.dyoss@kumhotire.com
Independent Retailer,1121730, Chalky Whites Repairs and Service Ltd ,KPP,MK2 2BI,South East,dean.dyoss@kumhotire.com
Independent Retailer,1122123, The Garage (ALN Garages Limited) ,KPP,MK12 5RH,South East,dean.dyoss@kumhotire.com
Independent Retailer,1123458, Stratford Tyres Ltd ,KPP,CV37 0HS,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1083227, Evesham Tyre Centre ,KPP,WR11 1GS,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1085134, The Plume of Feathers Garage Ltd ,KPP,B90 3BW,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1085138, DSW Motor Factors Limited ,KPP,S80 4HT,Yorkshire & Humberside,dean.dyoss@kumhotire.com
Independent Retailer,1086706, J A Price Motor Engineers Ltd ,KPP,SY9 5HB,Wales,dean.dyoss@kumhotire.com
Independent Retailer,1090027, Laindon Tyre Centre Ltd ,KPP,SS15 6PH,East,dean.dyoss@kumhotire.com
Independent Retailer,1098825, Addison Tyres Limited ,KPP,DY4 9HP,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1098942, Fast Fit Plus Ltd ,KPP,B63 3HJ,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1099882, The Tyre Warehouse Brackley Ltd ,KPP,NN13 7BE,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1100710, Loughran Brothers Limited ,KPP,NN12 6PF,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1101220, Queens Park Tyres Ltd ,KPP,CM12 0NH,East,dean.dyoss@kumhotire.com
Independent Retailer,1108782, Linslade Tyres Limited ,KPP,LU7 1LF,South East,dean.dyoss@kumhotire.com
Independent Retailer,1119282, Orbit Tyres Rushden ,KPP,NN10 9YE,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1119283, Orbit Tyres Wellingborough ,KPP,NN8 4HN,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1083229, Kingswinford Tyres Limited ,Other,DY6 7BD,West Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1083814, Phillips Tyres Ltd ,Other,OX4 2TZ,South East,dean.dyoss@kumhotire.com
Independent Retailer,1119836, Wellingborough Tyres Limited ,Other,NN8 1RT,East Midlands,dean.dyoss@kumhotire.com
Independent Retailer,1122242, Charlett Tyres ,Other,OX5 1QB,South East,dean.dyoss@kumhotire.com
Independent Retailer,1125623, Tyremaster Tyre Specialist Limited ,Other,TF9 3SJ,West Midlands,dean.dyoss@kumhotire.com
National Wholesaler,1107168, Kings Road Tyres & Repairs Ltd (B) ,Wholesale,DE14 2WL,#National,julie.wigley@kumhotire.com
National Wholesaler,1096655, G B Tyres (UK) Limited ,Other,DY4 9SJ,#National,julie.wigley@kumhotire.com
National Wholesaler,1123998, Tyreline Original Equipment Limited ,Other,NN11 8PB,#National,julie.wigley@kumhotire.com
Regional Wholesaler,1119415, Mototrend Tyres Limited ,Other,WF17 9NF,Yorkshire & Humberside,julie.wigley@kumhotire.com
Regional Wholesaler,1083899, Oak Tyres UK Ltd ,Wholesale,WA12 0HF,North West,julie.wigley@kumhotire.com
Regional Retailer,1087186, Dexel Tyre Company Ltd HQ ,Other,S9 3JQ,East Midlands,julie.wigley@kumhotire.com
Regional Retailer,1086870, Selecta Tyre Limited (HQ) ,Other,NN16 8RA,East Midlands,julie.wigley@kumhotire.com
Regional Retailer,1096693, Southern Tyre Co T/A SeTyres PCR ,Other,BN27 4BW,South East,julie.wigley@kumhotire.com
Regional Retailer,1086849, Southern Tyre Co Ltd T/A SeTyres ,Other,BN27 4BW,South East,julie.wigley@kumhotire.com
Independent Retailer,1083231, Cuts Tyres & Exhausts ,KPP,TS13 4DY,North East,julie.wigley@kumhotire.com
Independent Retailer,1083234, AKW Tyre Services Ltd ,KPP,TA11 6SB,South West,julie.wigley@kumhotire.com
Independent Retailer,1084594, GoodTread Tyre  MOT Factors ltd ,KPP,IV17 0PS,Scotland,julie.wigley@kumhotire.com
Independent Retailer,1087184, RLG Tyres  ,KPP,TN21 9QB,South East,julie.wigley@kumhotire.com
Independent Retailer,1087362, Tyreworks Tyre Centres Ltd ,KPP,TF9 3UX,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1115699, Challenge Tyre Exh & MOT Cntr Ltd ,KPP,BA14 8RY,South West,julie.wigley@kumhotire.com
Independent Retailer,1115704, Ashton Tyre Specialists Limited ,KPP,SK10 4NL,North West,julie.wigley@kumhotire.com
Independent Retailer,1115742, Mill Auto Services ,KPP,TA3 5PX,South West,julie.wigley@kumhotire.com
Independent Retailer,1115744, A D Tyres ,KPP,KY1 2NL,Scotland,julie.wigley@kumhotire.com
Independent Retailer,1115787, P & B Tyres ,KPP,SY10 8GA,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1115808, Grove Hill Garage Limited ,KPP,LA2 7LH,North West,julie.wigley@kumhotire.com
Independent Retailer,1115836, Phillips Tyres Castle Cary Ltd ,KPP,BA7 7BD,South West,julie.wigley@kumhotire.com
Independent Retailer,1116019, Oxford Tyre & Battery Limited ,KPP,BD21 1QT,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1116021, Imperial Tyres Limited ,KPP,SN2 8EA,South West,julie.wigley@kumhotire.com
Independent Retailer,1116047, Edgwick Tyres (Coventry) Ltd ,KPP,CV4 9AP,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1116627, The Tyremen ,KPP,BB7 2JP,North West,julie.wigley@kumhotire.com
Independent Retailer,1083245, Henry's Tyre Limited (PCR) ,KPP,WF10 1LG,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1083809, LTC Tyres & Exhausts Ltd HQ ,KPP,DY5 3JN,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1083868, Castle Tyres ,KPP,BD16 2AF,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1083870, Coventry Service Centre ,KPP,CV3 2NY,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1083889, D & R Tyres ,KPP,DH9 0LL,North East,julie.wigley@kumhotire.com
Independent Retailer,1085041, Wirral Tyre & Commercial Ltd ,KPP,CH62 3NX,North West,julie.wigley@kumhotire.com
Independent Retailer,1085194, Lawden Tyre Services ,KPP,B10 0AB,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1086976, Andys Tyre Services Ltd (TBR) ,KPP,LL19 7HA,Wales,julie.wigley@kumhotire.com
Independent Retailer,1088017, Cumbria Tyre Specialists Ltd (THQ) ,KPP,CA1 3UD,North West,julie.wigley@kumhotire.com
Independent Retailer,1089142, Winner Garage Limited ,KPP,GL14 2PH,South West,julie.wigley@kumhotire.com
Independent Retailer,1099127, Tyre Market Limited ,KPP,WF16 9DQ,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1118585, North Devon Tyres(CNTR) ,KPP,EX16 6TW,South West,julie.wigley@kumhotire.com
Independent Retailer,1044451, Mel Williams Tyres ,Other,SA32 7NQ,Wales,julie.wigley@kumhotire.com
Independent Retailer,1083201, Cabot Tyre Service Limited ,Other,BS3 4UD,South West,julie.wigley@kumhotire.com
Independent Retailer,1083206, Stephen Maude Limited ,Other,DL12 8QJ,North East,julie.wigley@kumhotire.com
Independent Retailer,1083213, Capital Tyres (Northallerton) Ltd ,Other,DL6 2XE,North East,julie.wigley@kumhotire.com
Independent Retailer,1083214, Flaxley Tyres Limited ,Other,B33 9AL,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1083237, Penkridge Tyre & exhaust Service ,Other,ST19 5NU,West Midlands,julie.wigley@kumhotire.com
Independent Retailer,1083238, Tarporley Garage ,Other,CW6 9UT,North West,julie.wigley@kumhotire.com
Independent Retailer,1083239, Shaw Tyre & Exhaust Company Ltd ,Other,OL2 8PA,North West,julie.wigley@kumhotire.com
Independent Retailer,1083248, CRACKNELLS GARAGE ,Other,HG3 4HZ,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1083249, BUZZARD TYRE SERVICES ,Other,HG4 3QD,Yorkshire & Humberside,julie.wigley@kumhotire.com
Independent Retailer,1083252, B P TYRE & EXHAUST ,Other,DL9 4SA,North East,julie.wigley@kumhotire.com
Independent Retailer,1083790, K&P Motors(Kingston) ,Other,KT1 3LG,London,julie.wigley@kumhotire.com
Independent Retailer,1083804, Steve Lister Tyres Ltd ,Other,PR7 5DR,North West,julie.wigley@kumhotire.com
