Account no,Title,Contact,Address 1,Address 2,Address 3,Town,County,Post Code,Region,Telephone,Email,Website
1115916,CONTINENTAL SERVICE STATION,Rob,Caerbont,,,Swansea,West Glamorgan,SA9 1SW,South Wales,01639 731000,oakley6691@aol.com,
1115786,COTTAGE STREET GARAGE,James Pettener,Cottage Street,,,Macclesfield,Cheshire,SK11 8DZ,North West,01625 426507,emma.morris55@btinternet.com,www.cottagestreetgarage.co.uk
1116485,CRACKLEY GARAGE,James Poulter,Unit F,Princes Drive Industrial Estate,Coventry Road,Kenilworth,Warwickshire,CV8 2FD,West Midlands,01926 852729,crackley_garage@btconnect.com,www.crackleygarage.com
1115751,CREWE TYRES & EXHAUST,Eric Harrison,Derby Street,,,Crewe,Cheshire,CW1 3ER,North West,01270 255966,crewetyres@btinternet.com,www.crewetyres.co.uk
1083845,CRIBB TYRES & BATTERY,Paul Cribb,Wareham Road,,,Poole,Dorset,BH16 6JW,South West,01202 631122,cribbtyres@hotmail.co.uk,
1090589,Cumbria Tyre Specialist Ltd ,David Hayton,Unit 4 Durranhill Industrial Estate,,,Carlisle,Cumbria,CA1 3UD,North West,01228 514940,cumbriatyrespecialist@hotmail.com,
1083231,CUTS TYRES & EXHAUSTS,Graham,Brotton Road,Carlin-How,,Saltburn,County Durham,TS13 4DY,North East,01287 644441,cutstyres4u@gmail.com,www.cutstyresandexhausts.co.uk
1086836,DARWEN TYRES & EXHAUST SERVICES,Shaban Ali,Birchall Avenue,,,Darwen,Lancashire,BB3 0JB,North West,01254 776672,shabby96@live.co.uk,www.darwentyres.co.uk
1115696,DAVE PRANCE TYRES,Dave Prance,St. Fagans Garage,Michaelston Road,,Cardiff,South Glamorgan,CF5 4SY,South Wales,029 20599000,dave@philipjenkins.co.uk,www.stfagansgarage.co.uk
1115726,DAVID CRAIG PERFORMANCE TYRES,David Craig,Mansfield Park,,,Hawick,Roxburghshire,TD9 8AL,Scotland,01450 376169,info@craigmotors.co.uk,
1115825,DD TYRES,Darrell Hicken,66 Askern Road,,,Doncaster,South Yorkshire,DN5 0EW,Yorks & Humber,01302 874707,diamond20764@aol.co.uk,
1097731,DEREK ADAMS GARAGE,Derek Adams,Salterton Road,,,Exmouth,Devon,EX8 2NS,South West,01395 270133,info@derekadamsgarage.co.uk,www.derekadamsgarage.co.uk
1118807,DIRECT TYRES (KENT AUTO PANELS),Graham Bingham,Ross Way,,,Folkestone,Kent,CT20 3UJ,South East,01303 249656,graham.bingham@kentautopanels.co.uk,
1115918,DRIVE-IN AUTO CARE,Mike Knight,Unit 5,Falcon Units ,Bradley Lane,Newton Abbot,Devon,TQ12 1NB,South West,01626 36663,mike@driveinautocare.co.uk,www.drivein-autocare.co.uk
1116403,DROITWICH TYRES & EXHAUSTS,Paul Fry,12 Sherwood Road,Aston Fields Industrial Estate,,Bromsgrove,Worcestershire,B60 3DR,West Midlands,01527 836303,droitwichtyres@gmail.com,www.droitwichtyresandexhaust.co.uk
1085138,DSW MOTOR FACTORS,David Smith,Willow Farm,Mansfield Road,,Creswell,Nottinghamshire,S80 4HT,East Midlands,01909 722311,davidsmith@dswmotorfactors.com,
1115829,EAMES MOTOR REPAIRS,Scott Eames,Unit 18,St. James Industrial Estate,Weshampnett Road,Chichester,West Sussex,PO19 7JU,South East,01243 775968,eamesmotorrepairs@btconnect.com,
1108792,Eden Tyres & Servicing,Jim Eden,27 Nottingham Road,,,Ripley,Derbyshire,DE5 3AS,East Midlands,01773 744646,customerservices@edentyres.co.uk,www.edentyres.com
1116047,EDGWICK TYRES,Mick Thompson,Unit K Templar Industrial Estate,Torrington Avenue,,Coventry,West Midlands,CV4 9AP,West Midlands,01295 271362,timedgwick@hotmail.co.uk,edgwicktyres.co.uk
1116018,EDM GARAGE SERVICES,Dave Hickling,Burton Road,,,Findern,Derbyshire,DE65 6BE,East Midlands,01332 521751,dave@edmgarageservices.co.uk,www.edmgarageservices.co.uk
1084920,EDMUNDS EXHAUST & AUTOCARE,David Edmunds,370 Reading Road,,,Wokingham,Berkshire,RG41 5EJ,South East,0118 989 1123,edmundstyres@googlemail.com,www.edmundstyres.com
1122406,Elite Garage Services,Andy Bales,"Unit 8, Folgate Road",,,North Walsham,Norfolk,NR28 0AJ,East,01692 409999,elitegarageservices@googlemail.com,
1115884,EMPRESSTYRES.COM,Deborah Reynolds,"Unit 6, Accrington Trade Park",Electricity Street,,Accrington,Lancashire,BB5 1DD,North West,01254 236609,sales@empresstyres.com,www.empresstyres.com
1115785,ENTERPRISE TYRES & EXHAUST,Lee Evans,Unit 36,37 Neath Abbey Business Park,,Neath,West Glamorgan,SA10 7DR,South Wales,01792 816731,enterprisetyres@live.co.uk,www.enterprisetyresandexhausts.co.uk
1127171,Europit Tyres Ltd,Gerry Duffy,88 Oxford Road,,,Clacton on Sea,Essex,CO15 3TQ,South East,01255 473 536,annemarie.duffy@europittyres.co.uk,
1083227,EVESHAM TYRE CENTRE,Adrian Preston,Enterprise Way,Vale Business Park,,Evesham,Worcestershire,WR11 1GS,West Midlands,01386 420904,eveshamtyres@spencercomm.com,www.eveshamtyrecentre.com
1109011,EXPRESS TYRE SERVICE,Ian Hamilton,Unit 1 61-63 Bridge Street,,,Lockerbie,Dumfriesshire,DG11 2HS,Scotland,01576 203042,info@expresstyrelockerbie.co.uk,
1085237,FAIRWAY TYRES & AUTO SERVICES,Andrew Dickman,90 Uxbridge Road,Mill End,,Rickmansworth,Hertfordshire,WD3 8BW,South East,01923 721 008,fts10@live.co.uk,www.fairwaytyres.co.uk
1098942,FAST FIT PLUS LTD,Jason Thom,Units 2 and 3,Bromsgrove Road,,Halesowen,West Midlands,B63 3HJ,West Midlands,0121 503 0700,fast.fitplus@btconnect.com,www.fastfitplus.co.uk
1115907,FLEET FIT,John Sykes,Cumberland Trading Estate,Cumberland Road,,Loughborough,Leicestershire,LE11 5DF,East Midlands,01509 266160,fleetfit@btconnect.com,www.fleetfitloughborough.com
1115832,FOR TYRES,Anthony Rogers/Kevin Ecclestone,420 Werrington Road,,,Stoke On Trent,Staffordshire,ST2 9AB,West Midlands,01782 215562,fortyres@gmx.co.uk,
1115748,FOREST OF DEAN TYRES,Wayne Davies,Nash-Morgan Building,New Road,,Lydney,Gloucestershire,GL15 4QF,South West,01594 564211,fod1@btconnect.com,www.forestofdeantyres.com
1117960,FOX TYRES,Mark McIntyre,Foxborough Hill,,,Sandwich,Kent,CT13 0NY,South East,01304 621172,foxboroughtyres@hotmail.co.uk,
1083208,FRODSHAM TYRE CO,Phil Knowles,The Frodsham Business Centre,Bridge Lane,,Warrington,Cheshire,WA6 7FZ,North West,01928 733831,sales@biginrubber.co.uk,www.biginrubber.co.uk
1115912,GDS TYRES,John De Sandolo,29 Pembroke Road,,,Haverfordwest,Dyfed,SA61 1JW,South Wales,01437 760800,gdstyresltd@hotmail.co.uk,https://www.gdstyres.co.uk/
1083251,GEMINI CARS,Andy,68 High Street,,,Rotherham,South Yorkshire,S66 8LA,Yorks & Humber,01709 814598,robeys@btinternet.com,
1115917,GOODFELLOWS TYRES,Darrie Goodfellow,Fairfield Buildings,South Street,,Cockermouth,Cumbria,CA13 9RU,North West,01900 823600,darriegoodfellow@googlemail.com,www.goodfellowtyres.co.uk
1084006,GOODRIMS,Chris Knight,Unit 30,Bourne Industrial Park,Bourne Road,Dartford,Kent,DA1 4BZ,South East,01322 523003,info@goodrims.co.uk,www.goodrims.co.uk
1084594,GOODTREAD TYRE CO,Sandy Mackenzie,40 High Street,,,Alness,Rossshire,IV17 0PS,Scotland,01349 882206,enquiries@goodtread.com,
1116671,GOSPORT TYRE & EXHAUST CENTRE,Dave Webb and Steve Cawte,Unit 8 Clarence Wharf Industrial Estate,Mumby Road,,Gosport,Hampshire,PO12 1AJ,South East,02392 504555,gosporttyre@hotmail.co.uk,
1116164,GRAHAMS TYRES,John Andrews,154 Leppings Lane,,,Sheffield,South Yorkshire,S6 1SX,Yorks & Humber,01142 332845,johnandrews15@hotmail.co.uk,grahamstyres.co.uk
1083887,GRANDE TYRES FASTFIX,Greg Harm,Whickham Industrial Estate,Swalwell, Gateshead,Newcastle Upon Tyne,Northumberland,NE16 3DA,North East,0191 488 7288,info@grandetyres.co.uk,grandetyres.co.uk
1115808,GROVE HILL GARAGE,Phil Wright,Station Road,Bentham,,Lancaster,Lancashire,LA2 7LH,North West,0152 4261782,grovehillgarage@googlemail.com,
1115783,GT Tyres (Ceredigion) Ltd,Carwyn Evans,Brooklyn Garage,Castle Street,,Cardigan,Dyfed,SA43 3AE,South Wales,01239 612814,info@gttyresceredigion.co.uk,www.gttyresceredigion.co.uk
1106703,GW Autoserve Ltd,Dale Guiler,2 Holywells Close,,,Ipswich,Suffolk,IP3 0AW,East,01473 218 364,rupert@gw-autoserve.co.uk,www.gwautoserve.co.uk
1115831,H & B TYRES,Mike Hobbs,33 Christchurch Street East,,,Frome,Somerset,BA11 1QH,South West,01373 46066,handbtyres@gmail.com,
1115988,HAMMOND TYRES,Keith Manders,Norwich Road,,,Halesworth,Suffolk,IP19 8HX,East,01986 834734,tyres@hammondgroup.co.uk,www.hammondgroup.co.uk
1090869,Havers Tyres,Richard Ellis,Havers Road,,,Norwich,Norfolk,NR3 2DU,East,01603 409119,sales@haverstyres.co.uk,www.haverstyres.co.uk
1115697,HEATH TYRE SERVICES,Andrew Evans,Maes-Y-Coed Road,,,Cardiff,South Glamorgan,CF14 4HH,South Wales,02920 611688,heathtyres@hotmail.com,
1083245,HENRYS TYRE & AUTO SERVICE,David,2 North Street,,,Castleford,West Yorkshire,WF10 1LG,Yorks & Humber,01977 553806,henrystyres@live.co.uk,
1115788,HEREFORD TYRES,James Lauchlan,22 Vaughan Street,,,Hereford,Herefordshire,HR1 2HD,West Midlands,01432 353 205,james@herefordtyres.co.uk,www.herefordtyres.co.uk
1085200,HQ AUTO & LEISURE CENTRE,Matthew,Grove House, Foster Street,,Penrith,Cumbria,CA11 7NZ,North West,01768 862376,info@hqautoandleisure.co.uk,www.hqmotcentre.co.uk
1084860,HUW LEWIS TYRES,Huw Lewis,Glan Yr Afon Industrial Estate,,,Aberystwyth,Dyfed,SY23 3LQ,North Wales,01970 611166,admin@huwlewistyres.com,www.huwlewistyres.com
1116141,IAN BROWN TYRES,Ian Brown,Derwent Road,York Road Industrial Estate,,Malton,North Yorkshire,YO17 6YB,Yorks & Humber,01653 6903000,enquiries@ianbrowntyres.co.uk,ianbrowntyres.co.uk
1116021,IMPERIAL TYRES,Chris-Allen Welch,Dunbeath Road,Elgin Ind Est,,Swindon,Wiltshire,SN2 8EA,South West,01793 531990,imperialtyres@btconnect.com,www.imperialtyres.co.uk
1116017,INVICTA TYRES,Martin Bowles,Jackson Road,Wincheap Industrial Estate,,Canterbury,Kent,CT1 3RF,South East,01227 761213,invictatyres@aol.com,www.invictatyrescanterbury.co.uk
1086706,J A PRICE MOTOR ENGINEERS LTD,Russell Price,The Forge,Lydham,,Ludlow,Shropshire,SY9 5HB,North West,01588 638585,russ@lydhamforge.co.uk,www.lydhamforge.co.uk
1115725,JAMES MITCHELL CARS,Richard Mitchell,Tantallon Road,,,North Berwick,East Lothian,EH39 5NF,Scotland,01620 892232,mail@mitchells-nb.co.uk,www.jamesmitchellcars.co.uk
1116552,JIM DICKSON TYRE & ACCESSORY SERVICES,Jim Dickson,24-26 Baronhill,,,Glasgow,Lanarkshire,G67 2SB,Scotland,01236 720205,Garage@dicksontyres.co.uk,
1116673,JK TYRES & AUTOCENTRE,Jim Kennedy,87 Newhouse Road,,,Grangemouth,Stirlingshire,FK3 8NJ,Scotland,01324 469999,accounts@jktyres.co.uk,www.jktyres.co.uk
1116801,K & P TYRES EWELL,Steve Gardiner,169 Chessington Road,,,Epsom,Surrey,KT19 9XE,London,0208 3932338,enquiries@k-p-tyres.co.uk,www.k-p-tyres.co.uk
1116136,K TEE Motorcentre Ltd,Pete Black,124a Countesthorpe Road,,,Wigston,Leicestershire,LE18 4PR,East Midlands,0116 2775452,kteetyres.ltd@hotmail.com,kteemotorcentre.co.uk
1117860,KIDLINGTON TYRE & EXHAUST CENTRE,Lianne Hay Day,Langford Lane,,,Kidlington,Oxfordshire,OX5 1HT,South East,01865 374151,sales@ktecgarage.co.uk,www.kidlingtontyres.co.uk
1084436,KIRKLEY RUN DISCOUNT TYRES & WHEELS,Ashley Steward,126 Southtown Road,,,Great Yarmouth,Norfolk,NR31 0JZ,East,01493 857099,info@kirkleytyresandwheels.co.uk,www.kirkleytyresandwheels.co.uk
1116304,KMC TYRES,Mark Peacher,13 Page Road,Sweet Briar Road Industrial Es,,Norwich,Norfolk,NR3 2BX,East,01603 789090,kmctyres@hotmail.com,www.kmctyres.net
1090027,LAINDON TYRE CENTRE,Rob Stelmach,13 Durham Road,,,Basildon,Essex,SS15 6PH,South East,01268 540333,rob.stelmach80@gmail.com,http://laindontyres.co.uk/
1126648,Lincoln's Tyre Service,Andrew Stevenson,15A Julians Road,,,Stevenage,Hertfordshire,SG1 3ES,South East,01438 354473,lincolnstyres@outlook.com,
1108782,Linslade Tyres,Andrew Joyce,18a Leighton Road,Linslade,,Leighton Buzzard,Bedfordshire,LU7 1LF,South East,01525 374113,sales@linsladetyres.com,www.linsladetyres.com
1116370,LITTLEHAMPTON TYRE & EXHAUST CENTRES,Frank Corbett,St Martins Barn,St Martins Lane,,Littlehampton,West Sussex,BN17 6BS,South East,01903 717080,sales@littlehamptontyres.co.uk,www.littlehamptontyres.co.uk
1087501,LOU'S TYRES,Lou and Simon Shorthose,Brigg Road,,,Scunthorpe,South Humberside,DN16 1AR,Yorks & Humber,01724 281981,simon@loustyresltd.com,
1083864,LTC Tyres & Exhausts,Darren Macdonald,159 Stourbridge Road,,,Stourbridge,West Midlands,DY9 7BU,West Midlands,01384 898014,sales@tyres4sale.com,tyres4sale.com
1117082,M P FOULKES,Terry Foulkes,The Garage,,,Adfa,Powys,SY16 3DB,North Wales,01938 810255,terryfoulkes@btinternet.com,www.mpfoulkes-tyres.co.uk
1108174,MAC Tyres Ltd ,Louise Wilkie,40 Windmill Street,,,Peterhead,Aberdeenshire,AB42 1UL,Scotland,01779 487097,info@mactyres.co.uk,www.tyresinpeterhead.co.uk
1116139,MALCOLM'S TYRES & EXHAUSTS,Malcolm Hargate,Cemetery Road,,,Barnsley,South Yorkshire,S70 1XR,Yorks & Humber,01226 295171,sales@malcolmstyres.com,
1115724,MANN AUTOMOTIVE,Barry Cruickshank,Unit 1-3 Old Mart,Market Road,,Laurencekirk,Aberdeenshire,AB30 1DG,Scotland,01561 378500,mannautomotive@btopenworld.com,
1115725,MCNEILS GARAGE,Jim McNeill,The Wynd,Ormiston,,Tranent,East Lothian,EH35 5HN,Scotland,01875 610289,mcneils-garage@vodabb.com,
1115966,MERROW TYRE & ALIGNMENT CENTRE,Martin Heffer,1-2 Farnham Business Centre,Dogflud Way,,Farnham,Surrey,GU9 7UP,South East,01252 724 209,martinheffer@btinternet.com,www.merrow-tyres.co.uk
1126588,Mike Knight Tyres,Philip Marshall,"Unit 2B, Severnside Trading Estate",St Andrews Road,,Bristol,Avon,BS11 9YQ,South West,01179 828460,mktyres-accounts@btconnect.com,http://mikeknighttyres.co.uk/
1115838,MICK'S TYRES,Chris Street,Elm Tree Street,,,Mansfield,Nottinghamshire,NG18 2HD,East Midlands,01623 650237,christopherstreet@hotmail.co.uk,www.tyres-mansfield.co.uk
1115991,MILES TYRES & EXHAUST SERVICES,Andrew Miles,Unit 1 The Rearing Unit,Oldbury Lane,,Bristol,Avon,BS35 1RF,South West,01454 321160,andy@milestyres.com,www.milestyres.com
1115742,MILL AUTOS,Wendy Bagnell,Unit A,Creech Paper Mill,,Taunton,Somerset,TA3 5PX,South West,01823 444117,millautoservices@gmail.com,
1086333,MILL TYRES,Edward Sands,87 Field Street,,,Boston,Lincolnshire,PE21 6TR,East,01205 368365,milltyres.ed@hotmail.co.uk,www.milltyres.com
1115725,MILLBURN GARAGE,John Gorman,165 Galashiels Road,,,Galashiels,Selkirkshire,TD1 2RE,Scotland,01578 730333,millburngarage@hotmail.com,
1116385,MITCHELL NORTH WEST,Steve Price,Stanley Mill Lane,,,Cheshire Oaks,Cheshire,CH2 4RG,North West,0151 3475690,s.price@mitchellgroup.co.uk,https://www.mitchellgroup.co.uk
1090026,Monkleigh Garage,Geoff & Debs Williams,Monkleigh,,,Bideford,Devon,EX39 5JS,South West,01805 623157,,
1119532,Moss Tyres,Richard Stow,"Unit 7, Kettlestring Lane",,,York,North Yorkshire,YO30 4WF,Yorks & Humber,01904 690344,info@mosstyres.co.uk,www.mosstyres.co.uk
1097310,MOTORCARE (POWYS) LIMITED,Adrian Roberts,Tanat Industrial Estate,Llanrhaeadr ym Mochnant,,Oswestry,Shropshire ,SY10 0AA,North Wales,01691 780500,motorcarepowysltd@hotmail.co.uk,www.motorcarepowys.co.uk
1115698,NEIL ARNOLD TYRES,Neil Arnold,Bampton Street,,,Minehead,Somerset,TA24 5TR,South West,01643 707788,neilarnoldtyres@hotmail.co.uk,
1102734,NORTH DEVON TYRES,Trevor Veysey,4 Ormidale Square ,Tiverton Business Park ,,Tiverton,Devon,EX16 6TW,South West,01884 243430 ,sales@northdevontyres.co.uk,northdevontyresltd.co.uk
1107838,OATLANDS TYRE & MOTOR CO,Richard Matthews-Graham Chapman,Mount Street,,,Harrogate,North Yorkshire,HG2 8DQ,Yorks & Humber,01423 879700,sales@oatlandstyres.co.uk,
1119282,Orbit Tyres ,Ben Joyce,Skinners Hill ,,,Rushden,Northamptonshire,NN10 9YE,East Midlands,01933 312511,rushden@orbittyres.com,www.orbittyres.com
1119283,Orbit Tyres ,Ben Joyce,Stanton close,Finedon Road ind est,,Wellingborough,Northamptonshire,NN8 4HN,East Midlands,01933 271550,wellingborough@orbittyres.com,www.orbittyres.com
